mapid,name,description
c93d708f-f206-11e4-a815-24be05e24f7e,Urban,Andesia was the crucible for countless heroes and villains caught in the throes of seething rebellion and righteous excess.
cb251c51-f206-11e4-8541-24be05e24f7e,Raid on Apex 7,This unbroken ring is a symbol of the discovery that shook the galaxy and changed the course of both human and Covenant destiny.
c854e54f-f206-11e4-bddc-24be05e24f7e,March on Stormbreak,
c8d69870-f206-11e4-b477-24be05e24f7e,Escape from A.R.C.,Scientists flocked to this Forerunner excavation in search of new beginnings. What they unearthed will lead to their inevitable end.
73ed1fd0-45e5-4bb9-ab6a-d2852c04ea7d,Osiris,
96c3e3dd-7703-4086-9e64-e3a23932bdc4,Blue Team,
1c4f8e19-b046-4f78-9e2d-959cba84663d,Glassed,
825065cf-df57-42e3-b845-830e7340ea43,Unconfirmed,
9a188f67-1664-4d7b-83ca-1d74f714f764,Alliance,
2702ea83-2c3e-4fd5-8370-60d9a6e0422f,Before the Storm,
82f8471c-a2ef-4089-ac04-7e829fdec912,Genesis,
fcd7caa4-37c9-4365-bdda-9041dc6699ed,The Breaking,
7dc80b62-dd39-41d5-9b7a-d71fd8832c07,Guardians,
db9f76c4-6f9a-4c1a-9b48-7aaf59472ccd,Meridian Station,
b486c8f6-0b00-4a46-b91a-0514969d7c94,Evacuation,
37c717b8-7ae8-4be4-aaa2-945e083bcf3e,Reunion,
72c98d4a-4ee4-40db-baf3-1b1cc3672654,Sword of Sanghelios,
f352eafd-d307-4341-a192-16f7f3f5b43c,Enemy Lines,
8d72dd82-3afb-409e-bee0-512dc97893d2,Battle of Sunaion,
c822b1c0-f206-11e4-9755-24be05e24f7e,Summit,The half-real spaces at the heart of Kamchatka slowly turn over the long march of eons
cae999f0-f206-11e4-9835-24be05e24f7e,Array,Halo erased a hundred billion possibilities to destroy a single inevitability.
c89dae21-f206-11e4-a1c2-24be05e24f7e,Dispatch,
c74c9d0f-f206-11e4-8330-24be05e24f7e,Alpine,These vistas are Forerunner mementos
c7edbf0f-f206-11e4-aa52-24be05e24f7e,Breakout Arena,The broadcast of Breakout matches has proven immensely popular with the UNSC Infinity crew.
cebd854f-f206-11e4-b46e-24be05e24f7e,Coliseum,Forerunner Warrior-Servants tested themselves in this arena before facing the Flood.
cd844200-f206-11e4-9393-24be05e24f7e,Eden,Only now - years after the Human-Covenant War - do many Andesian citizens feel secure enough to return to the metroplex centers.
cdb934b0-f206-11e4-8810-24be05e24f7e,Empire,Military-industrial concerns that power the UNSC war machine are prime targets for Insurrection factions.
cc040aa1-f206-11e4-a3e0-24be05e24f7e,Fathom,The UNSC explores Beta Gabriel’s vast oceans in hopes of recovering wreckage hidden in the crushing depths.
caacb800-f206-11e4-81ab-24be05e24f7e,Plaza,Promesa’s streets were no stranger to organized violence.
cdee4e70-f206-11e4-87a2-24be05e24f7e,Regret,
cb914b9e-f206-11e4-b447-24be05e24f7e,The Rig,Humanity’s ravenous engines of industry require salvaging vast amounts of rare metals from Meridian’s vitrified surface.
ce1dc2de-f206-11e4-a646-24be05e24f7e,Truth,
c7805740-f206-11e4-982c-24be05e24f7e,Glacier,Each of Halo's microclimates can be controlled with exacting precision.
c7b7baf0-f206-11e4-ae9a-24be05e24f7e,Parallax,The Orion Arm of the galaxy teems with danger and opportunity.
c96ff240-f206-11e4-b581-24be05e24f7e,Battle of Noctus,The Andesian government vowed to root the Insurrection from Noctus
ca737f8f-f206-11e4-a7e2-24be05e24f7e,Overgrowth,Nature has reclaimed this tomb of millions.
cbcea2c0-f206-11e4-8c4a-24be05e24f7e,Riptide ,The waters of this planet have receded
cc74f4e1-f206-11e4-ad66-24be05e24f7e,,
ce89a40f-f206-11e4-b83f-24be05e24f7e,,
5e130537-2275-40b5-9758-94b1986934ed,,
